i,Year,Month,Pm [mm]
387,2013,4,335.9
388,2013,5,362.5
389,2013,6,348.5
390,2013,7,309.3
391,2013,8,353.2
392,2013,9,259.4
393,2013,10,214.6
394,2013,11,216.2
395,2013,12,206.2
396,2014,1,120.1
397,2014,2,145.5
398,2014,3,272.1
399,2014,4,336
400,2014,5,380.4
401,2014,6,664.2
402,2014,7,412.7
403,2014,8,358.8
404,2014,9,212
405,2014,10,284.1
406,2014,11,237
407,2014,12,154.3
408,2015,1,161.7
409,2015,2,145.9
410,2015,3,239.9
411,2015,4,352
412,2015,5,424.7
413,2015,6,575.2
414,2015,7,375.5
415,2015,8,336.5
416,2015,9,160.1
417,2015,10,262.5
418,2015,11,238.8
419,2015,12,162.9
420,2016,1,10.5
421,2016,2,140.9
422,2016,3,192.3
423,2016,4,413.9
424,2016,5,431
425,2016,6,597.6
426,2016,7,423.6
427,2016,8,295
428,2016,9,249.5
429,2016,10,235
430,2016,11,234.6
431,2016,12,245.4
432,2017,1,212.6
433,2017,2,134.9
434,2017,3,304.6
435,2017,4,265.5
436,2017,5,339.9
437,2017,6,444.1
438,2017,7,499.8
439,2017,8,227.6
440,2017,9,233.9
441,2017,10,198.9
442,2017,11,217.2
443,2017,12,140.7
444,2018,1,193.2
445,2018,2,31.4
446,2018,3,286.5
447,2018,4,384
448,2018,5,507.4
449,2018,6,372.3
450,2018,7,406.4
451,2018,8,283.4
452,2018,9,219.2
453,2018,10,253
454,2018,11,277.1
455,2018,12,117.4
456,2019,1,130.1
457,2019,2,137.3
458,2019,3,255.9
459,2019,4,300.1
460,2019,5,408.2
461,2019,6,514.5
462,2019,7,426.4
463,2019,8,337.1
464,2019,9,188.9
465,2019,10,286
466,2019,11,207.7
467,2019,12,277.6
468,2020,1,55.3
469,2020,2,96.1
470,2020,3,168.7
471,2020,4,234.2
472,2020,5,312.4
473,2020,6,391.5
474,2020,7,300.4
475,2020,8,236.5
476,2020,9,263.1
477,2020,10,234.8
478,2020,11,237.9
479,2020,12,246.5
480,2021,1,   NaN
481,2021,2,   NaN
482,2021,3,   NaN
483,2021,4,   NaN
484,2021,5,   NaN
485,2021,6,   NaN
486,2021,7,   NaN
487,2021,8,   NaN
488,2021,9,   NaN
489,2021,10,   NaN
490,2021,11,   NaN
491,2021,12,   NaN
