Year;Month;T2m1m []
2018; 6; 24.2
2018; 7; 24.6
2018; 8; 25.1
2018; 9; 25.9
2018; 10; 26.2
2018; 11; 26.0
2018; 12; 25.9
2019; 1; 26.4
2019; 2; 26.8
2019; 3; 26.7
2019; 4; 26.3
2019; 5; 25.5
2019; 6; 24.9
2019; 7; 24.7
2019; 8; 25.0
2019; 9; 26.2
2019; 10; 25.5
2019; 11; 26.1
2019; 12; 25.9
2020; 1; 27.2
2020; 2; 28.1
2020; 3; 27.8
2020; 4; 26.6
2020; 5; 26.0
2020; 6; 25.4
2020; 7; 25.1
2020; 8; 25.2
2020; 9; 26.2
2020; 10; 26.4
2020; 11; 25.8
2020; 12; 25.7
2021; 1; NaN
2021; 2; NaN
2021; 3; NaN
2021; 4; NaN
2021; 5; NaN
2021; 6; NaN
2021; 7; NaN
2021; 8; NaN
2021; 9; NaN
2021; 10; NaN
2021; 11; NaN
2021; 12; NaN
